Feature_Designation_Code,Feature_Designation_Name,Feature_Designation_Description,Collection_Guidance,Feature_Class
ARRU,undersea arrugado,an area of subdued corrugations off Baja California,Center of Feature (modification/addition requires ACUF approval),U - Undersea
ASPH,asphalt lake,a small basin containing naturally occurring asphalt,Center of Feature,T - Hypsographic
ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies,Center of Feature,S - Spot Features
ASYL,asylum,a facility where the insane are cared for and protected,Center of Feature,S - Spot Features
ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events",Center of Feature,S - Spot Features
ATOL,atoll(s),ring-shaped coral reef(s) with closely spaced islands on it encircling lagoon(s),Center of Feature,T - Hypsographic
BAR,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts",Center of Feature,T - Hypsographic
BAY,bay(s),"coastal indentation(s) between two capes or headlands, larger than a cove but smaller than a gulf.  Associated generic terms may be the primary factor for determining if a feature is a gulf, bay, or cove",Center of Feature,H - Hydrographic
BCH,beach(es),shore zone(s) of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,Center of Feature,T - Hypsographic
BCN,beacon,a fixed artificial navigation mark,Center of Feature,S - Spot Features
BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",Center of Feature,S - Spot Features
BDGQ,ruined bridge,a destroyed or decayed bridge which is no longer functional,Center of Feature,S - Spot Features
BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",Center of Feature,T - Hypsographic
BDLU,undersea borderland,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf",Center of Feature (modification/addition requires ACUF approval),U - Undersea
BGHT,bight(s),open body(-ies) of water forming a slight recession in a coastline,Center of Feature,H - Hydrographic
BKSU,undersea banks,"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",Center of Feature (modification/addition requires ACUF approval),U - Undersea
BLDA,apartment building,a building containing several individual apartments,Center of Feature,S - Spot Features
BLDG,building(s),"structure(s) built for permanent use, as house(s), factory(-ies), etc.",Center of Feature,S - Spot Features
BLDO,office building,commercial building where business and/or services are conducted,Center of Feature,S - Spot Features
BLDR,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks",Center of Feature,T - Hypsographic
BLHL,blowhole(s),hole(s) in coastal rock through which sea water is forced by a rising tide or waves and spurted through outlet(s) into the air,Center of Feature,T - Hypsographic
BLOW,blowout(s),"small depression(s) in sandy terrain, caused by wind erosion",Center of Feature,T - Hypsographic
BNCH,bench,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody",Center of Feature,T - Hypsographic
BNCU,undersea bench,a small terrace,Center of Feature (modification/addition requires ACUF approval),U - Undersea
BNK,bank(s),"elevation(s), typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",Center of Feature,H - Hydrographic
BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land,Center of Feature,H - Hydrographic
BNKU,undersea bank,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",Center of Feature (modification/addition requires ACUF approval),U - Undersea
BNKX,section of bank,section of bank,Center of Feature,H - Hydrographic
BOG,bog(s),"wetland(s) characterized by peat forming sphagnum moss, sedge, and other acid-water plants",Center of Feature,H - Hydrographic
BP,boundary marker,a fixture marking a point along a boundary,Center of Feature,S - Spot Features
BRKS,barracks,a building for lodging military personnel,Center of Feature,S - Spot Features
BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port,Center of Feature,S - Spot Features
BSND,drainage basin,an area drained by a stream,Center of Feature,L - Areas/Localities
BSNP,petroleum basin,an area underlain by an oil-rich structural basin,Center of Feature,L - Areas/Localities
BSNU,undersea basin,a depression more or less equidimensional in plan and of variable extent,Center of Feature (modification/addition requires ACUF approval),U - Undersea
BSTN,baling station,a facility for baling agricultural products,Center of Feature,S - Spot Features
BTL,battlefield,a site of a land battle of historical importance,Center of Feature,L - Areas/Localities
BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels",Center of Feature,S - Spot Features
BUR,burial cave(s),cave(s) used for human burials,Center of Feature,S - Spot Features
BUTE,butte(s),"small, isolated, usually flat-topped hill(s) with steep sides",Center of Feature,T - Hypsographic
CAPE,cape,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",Center of Feature,T - Hypsographic
CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet,Center of Feature,H - Hydrographic
CARN,cairn,a heap of stones erected as a landmark or for other purposes,Center of Feature,S - Spot Features
CAVE,cave(s),"underground passageway(s) or chamber(s), or cavity(-ies) on the side of a cliff",Center of Feature,S - Spot Features
CDAU,undersea cordillera,"an entire mountain system including the subordinate ranges, interior plateaus, and basins",Center of Feature (modification/addition requires ACUF approval),U - Undersea
CFT,cleft(s),"deep narrow slot(s), notch(s), or groove(s) in a coastal cliff",Center of Feature,T - Hypsographic
CH,church,a building for public Christian worship,Center of Feature,S - Spot Features
CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows","Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
CHNL,lake channel(s),"part(s) of a lake having water deep enough for navigation between islands, shoals, etc.","Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable,"Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
CLDA,caldera,a depression measuring kilometers across formed by the collapse of a volcanic mountain,Center of Feature,T - Hypsographic
CLF,cliff(s),"high, steep to perpendicular slope(s) overlooking a waterbody or lower area",Center of Feature,T - Hypsographic
CLG,clearing,an area in a forest with trees removed,Center of Feature,L - Areas/Localities
CMP,camp(s),"site(s) occupied by tents, huts, or other shelters for temporary use",Center of Feature,S - Spot Features
CMPL,logging camp,a camp used by loggers,Center of Feature,S - Spot Features
CMPLA,labor camp,a camp used by migrant or temporary laborers,Center of Feature,S - Spot Features
CMPMN,mining camp,a camp used by miners,Center of Feature,S - Spot Features
CMPO,oil camp,a camp used by oilfield workers,Center of Feature,S - Spot Features
CMPQ,abandoned camp,abandoned camp,Center of Feature,S - Spot Features
CMPRF,refugee camp,a camp used by refugees,Center of Feature,S - Spot Features
CMTY,cemetery,a burial place or ground,Center of Feature,S - Spot Features
CNFL,confluence,a place where two or more streams or intermittent streams flow together,Center of Feature,H - Hydrographic
CNL,canal,"an individual, or system, of artificial waterway(s) with no natural flow, or a controlled flow, usable or built for irrigation and/or navigation","Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
CNLA,aqueduct,a conduit used to carry water,At Dispersal Point,H - Hydrographic
CNLB,canal bend,a conspicuously curved or bent section of a canal,At Bend,H - Hydrographic
CNLQ,abandoned canal,abandoned canal,"Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
CNLSB,underground irrigation canal(s),gently inclined underground tunnel(s) bringing water for irrigation from aquifers,"Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
CNLX,section of canal,section of canal,Center of Feature,H - Hydrographic
CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry",Center of Feature,L - Areas/Localities
CNSU,undersea canyons,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope",Center of Feature (modification/addition requires ACUF approval),U - Undersea
CNYN,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area",Center of Feature,T - Hypsographic
CNYU,undersea canyon,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope",Center of Feature (modification/addition requires ACUF approval),U - Undersea
COLF,coalfield,a region in which coal deposits of possible economic value occur,Center of Feature,L - Areas/Localities
COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information",Center of Feature,S - Spot Features
CONE,cone(s),conical landform(s) composed of mud or volcanic material,Center of Feature,T - Hypsographic
COVE,cove(s),"small coastal indentation(s), smaller than a bay",Center of Feature,H - Hydrographic
CRDR,corridor,a strip or area of land having significance as an access way,Center of Feature,T - Hypsographic
CRKT,tidal creek(s),meandering channel(s) in a coastal wetland subject to bi-directional tidal currents,Center of Feature,H - Hydrographic
CRNT,current,a horizontal flow of water in a given direction with uniform velocity,Center of Feature,H - Hydrographic
CRQ,cirque(es),bowl-like hollow(s) partially surrounded by cliffs or steep slopes at the head of a glaciated valley,Center of Feature,T - Hypsographic
CRRL,corral(s),enclosed area(s) where livestock may be captured and/or temporarily kept,Center of Feature,S - Spot Features
CRSU,continental rise,a gentle slope rising from oceanic depths towards the foot of a continental slope,Center of Feature (modification/addition requires ACUF approval),U - Undersea
CRTR,crater(s),generally circular saucer or bowl-shaped depression(s) caused by volcanic or meteorite explosive action,Center of Feature,T - Hypsographic
CSNO,casino,"a building used for entertainment, especially gambling",Center of Feature,S - Spot Features
CST,coast,a zone of variable width straddling the shoreline,Center of Feature,L - Areas/Localities
CSTL,castle,a large fortified building or set of buildings,Center of Feature,S - Spot Features
CSTM,customs checkpoint,"a government checkpoint where customs duties are collected, the flow of goods are regulated and restrictions enforced, and shipments or vehicles are cleared for entering or leaving a country",Center of Feature,S - Spot Features
CSWY,causeway,a raised roadway across wet ground or shallow water,Center of Feature,R - Transportation Networks
CTHSE,courthouse,a building in which courts of law are held,Center of Feature,S - Spot Features
CTRA,atomic center,a facility where atomic research is carried out,Center of Feature,S - Spot Features
CTRB,business center,a place where a number of businesses are located,Center of Feature,L - Areas/Localities
CTRCM,community center,a facility for community recreation and other activities,Center of Feature,S - Spot Features
CTRM,medical center,"a complex of health care buildings including two or more of the following:  hospital, medical school, clinic, pharmacy, doctor's offices, etc.",Center of Feature,S - Spot Features
CTRR,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship",Center of Feature,S - Spot Features
CTRS,space center,"a facility for launching, tracking, or controlling satellites and space vehicles",Center of Feature,S - Spot Features
CTYD,courtyard,an area surrounded by a building or complex and open to the sky,Center of Feature,S - Spot Features
CUET,cuesta(s),asymmetric ridge(s) formed on tilted strata,Center of Feature,T - Hypsographic
CULT,cultivated area,an area under cultivation,Center of Feature,V - Vegetation
CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck,Center of Feature,H - Hydrographic
CVNT,convent,a building where a community of nuns lives in seclusion,Center of Feature,S - Spot Features
DAM,dam,a barrier constructed across a stream to impound water,Center of Feature,S - Spot Features
DAMQ,ruined dam,a destroyed or decayed dam which is no longer functional,Center of Feature,S - Spot Features
DAMSB,sub-surface dam,a dam put down to bedrock in a sand river,Center of Feature,S - Spot Features
DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products",Center of Feature,S - Spot Features
DCK,dock,"a waterway between two piers, or cut into the land for the berthing of ships, may be open or enclosed, and includes the surrounding piers and wharves",Center of Feature,H - Hydrographic
DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed",Center of Feature,S - Spot Features
DCKY,dockyard,"a facility for servicing, building, or repairing ships",Center of Feature,S - Spot Features
DEPU,deep,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench",Center of Feature (modification/addition requires ACUF approval),U - Undersea
DEVH,housing development,a tract of land on which many houses of similar design are built according to a development plan,Center of Feature,L - Areas/Localities
DIKE,dike,an earth or stone embankment usually constructed for flood or stream control,Center of Feature,S - Spot Features
DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d’affaires, or other diplomatic, economic, military, or cultural mission",Center of Feature,S - Spot Features
DLTA,delta,a flat plain formed by alluvial deposits at the mouth of a stream,Center of Feature,T - Hypsographic
DOMG,icecap dome,a comparatively elevated area on an icecap,Center of Feature,H - Hydrographic
DPOF,fuel depot,an area where fuel is stored,Center of Feature,S - Spot Features
DPR,depression(s),low area(s) surrounded by higher land and usually characterized by interior drainage,Center of Feature,T - Hypsographic
DPRG,icecap depression,a comparatively depressed area on an icecap,Center of Feature,H - Hydrographic
DSRT,desert,a large area with little or no vegetation due to extreme environmental conditions,Center of Feature,T - Hypsographic
DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land,"Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
DTCHD,drainage ditch,a ditch which serves to drain the land,"Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
DTCHI,irrigation ditch,a ditch which serves to distribute irrigation water,"Westernmost End (When feature is North to South Oriented, Southernmost End)",H - Hydrographic
DTCHM,ditch mouth(s),"area(s) where a drainage ditch enters a lagoon, lake or bay",Center of Feature,H - Hydrographic
DUNE,dune(s),"wave form(s), ridge(s) or star-shape feature(s) composed of sand",Center of Feature,T - Hypsographic
DVD,divide,a line separating adjacent drainage basins,Center of Feature,T - Hypsographic
EDGU,undersea shelf edge,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf,Center of Feature (modification/addition requires ACUF approval),U - Undersea
ERG,sandy desert,an extensive tract of shifting sand and sand dunes,Center of Feature,T - Hypsographic
ESCU,undersea escarpment (or scarp),an elongated and comparatively steep slope separating flat or gently sloping areas,Center of Feature (modification/addition requires ACUF approval),U - Undersea
EST,estate(s),large commercialized agricultural landholding(s) with associated buildings and other facilities,Center of Feature,S - Spot Features
ESTB,banana plantation,an estate that specializes in the growing of bananas,Center of Feature,S - Spot Features
ESTC,cotton plantation,an estate specializing in the cultivation of cotton,Center of Feature,S - Spot Features
ESTO,oil palm plantation,an estate specializing in the cultivation of oil palm trees,Center of Feature,S - Spot Features
ESTR,rubber plantation,an estate which specializes in growing and tapping rubber trees,Center of Feature,S - Spot Features
ESTSG,sugar plantation,an estate that specializes in growing sugar cane,Center of Feature,S - Spot Features
ESTSL,sisal plantation,an estate that specializes in growing sisal,Center of Feature,S - Spot Features
ESTT,tea plantation,an estate which specializes in growing tea bushes,Center of Feature,S - Spot Features
ESTX,section of estate,section of estate,Center of Feature,S - Spot Features
ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences,Center of Feature,H - Hydrographic
FAN,fan(s),fan-shaped wedge(s) of coarse alluvium with apex(es) merging with mountain stream bed(s) and fan(s) spreading out at a low angle slope onto an adjacent plain,Center of Feature,T - Hypsographic
FANU,undersea fan,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system,Center of Feature (modification/addition requires ACUF approval),U - Undersea
FCL,facility,"an area, and associated structures, that have been developed to perform a specific principal function",Center of Feature,S - Spot Features
FIN,financial institution,"an establishment for the custody, loan, exchange or issue of money, for the extension of credit, and for facilitating the transmission of funds",Center of Feature,S - Spot Features
FIRE,fire station,building housing firefighters and/or fire fighting equipment,Center of Feature,S - Spot Features
FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish",Center of Feature,H - Hydrographic
FJD,fjord(s),"long, narrow, steep-walled, deep-water arm(s) of the sea at high latitudes, usually along mountainous coasts",Center of Feature,H - Hydrographic
FLD,field(s),open as opposed to wooded area(s),Center of Feature,L - Areas/Localities
FLDI,irrigated field(s),tract(s) of level or terraced land which is/are irrigated,Center of Feature,L - Areas/Localities
FLLS,waterfall(s),perpendicular or very steep descent(s) of the water of a stream,Center of Feature,H - Hydrographic
FLLSX,section of waterfall(s),section of waterfall(s),Center of Feature,H - Hydrographic
FLTM,mud flat(s),"relatively level area(s) of mud either between high and low tide lines, or subject to flooding",Center of Feature,H - Hydrographic
FLTT,tidal flat(s),large flat area(s) of mud or sand attached to the shore and alternately covered and uncovered by the tide,Center of Feature,H - Hydrographic
FLTU,undersea flat,a small level or nearly level area,Center of Feature (modification/addition requires ACUF approval),U - Undersea
FNDY,foundry,a building or works where metal casting is carried out,Center of Feature,S - Spot Features
FNT,fountain,"a monumental and/or ornamental structure containing moving water, often including jets, falls, or other decorative features",Center of Feature,S - Spot Features
FORD,ford,a shallow part of a stream which can be crossed on foot or by land vehicle,Center of Feature,T - Hypsographic
FRKU,undersea fork,a branch of a canyon or valley,Center of Feature (modification/addition requires ACUF approval),U - Undersea
FRM,farm(s),tract(s) of land and associated building(s) devoted primarily to the production of crops and or livestock,Center of Feature,S - Spot Features
FRMQ,abandoned farm,abandoned farm,Center of Feature,S - Spot Features
FRST,forest(s),area(s) dominated by tree vegetation,Center of Feature,V - Vegetation
FRSTF,fossilized forest,a forest fossilized by geologic processes and now exposed at the earth's surface,Center of Feature,V - Vegetation
FRSU,undersea forks,a branch of a canyon or valley,Center of Feature (modification/addition requires ACUF approval),U - Undersea
FRZU,undersea fracture zone,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments",Center of Feature (modification/addition requires ACUF approval),U - Undersea
FSR,fissure,a crack associated with volcanism,Center of Feature,T - Hypsographic
FT,fort,a building that is specifically designed or reinforced to provide for defense from armed attack,Center of Feature,S - Spot Features
FURU,undersea furrow,"a closed, linear, narrow, shallow depression",Center of Feature (modification/addition requires ACUF approval),U - Undersea
FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody,Center of Feature,S - Spot Features
FYT,ferry terminal ,"a place where ferries pick-up and discharge passengers, vehicles and or cargo",Center of Feature,S - Spot Features
GAP,gap,"a low place in a ridge, not used for transportation",Center of Feature,T - Hypsographic
GAPU,undersea gap,a narrow break in a ridge or rise,Center of Feature (modification/addition requires ACUF approval),U - Undersea
GARG,parking garage,a building or underground facility used exclusively for parking vehicles,Center of Feature,S - Spot Features
GASF,gasfield,an area containing a subterranean store of natural gas of economic value,Center of Feature,L - Areas/Localities
GATE,gate,a barrier on a transportation route that controls passage along that route,Center of Feature,S - Spot Features
GDN,garden(s),enclosure(s) for displaying selected plant or animal life,Center of Feature,S - Spot Features
GHAT,ghāt,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing",Center of Feature,S - Spot Features
GHSE,guest house,a house used to provide lodging for paying guests,Center of Feature,S - Spot Features
GLCR,glacier(s),"mass(es) of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses",Center of Feature,H - Hydrographic
GLYU,undersea gully,a small valley-like feature,Center of Feature (modification/addition requires ACUF approval),U - Undersea
GOSP,gas-oil separator plant,a facility for separating gas from oil,Center of Feature,S - Spot Features
GRAZ,grazing area,an area of grasses and shrubs used for grazing,Center of Feature,L - Areas/Localities
GRGE,gorge(s),"short, narrow, steep-sided section(s) of a stream valley",Center of Feature,T - Hypsographic
GROVE,grove,"a small wooded area or collection of trees growing closely together, occurring naturally or deliberately planted",Center of Feature,V - Vegetation
GRSLD,grassland,an area dominated by grass vegetation,Center of Feature,V - Vegetation
GRVE,grave,a burial site,Center of Feature,S - Spot Features
GULF,gulf,"a large recess in the coastline, larger than a bay",Center of Feature,H - Hydrographic
GVL,gravel area,an area covered with gravel,Center of Feature,L - Areas/Localities
GYSR,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam,Center of Feature,H - Hydrographic
HBR,harbor(s),haven(s) or space(s) of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships,Center of Feature,H - Hydrographic
HBRX,section of harbor,section of harbor,Center of Feature,H - Hydrographic
HDLD,headland,a high projection of land extending into a large body of water beyond the line of the coast,Center of Feature,T - Hypsographic
HERM,hermitage,"a secluded residence, usually for religious sects",Center of Feature,S - Spot Features
HLL,hill,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m,Center of Feature,T - Hypsographic
HLLS,hills,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m,Center of Feature,T - Hypsographic
HLLU,undersea hill,an elevation rising generally less than 500 meters,Center of Feature (modification/addition requires ACUF approval),U - Undersea
HLSU,undersea hills,elevations rising generally less than 500 meters,Center of Feature (modification/addition requires ACUF approval),U - Undersea
HLT,halting place,a place where caravans stop for rest,Center of Feature,S - Spot Features
HMCK,hammock(s),"patch(es) of ground, distinct from and slightly above the surrounding plain or wetland",Center of Feature,T - Hypsographic
HMDA,rock desert,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer",Center of Feature,T - Hypsographic
HMSD,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand",Center of Feature,S - Spot Features
HOLU,undersea hole,a small depression of the sea floor,Center of Feature (modification/addition requires ACUF approval),U - Undersea
HSE,house(s),a building or buildings used as human habitation,Center of Feature,S - Spot Features
HSEC,country house,"a large house, mansion, or chateau, on a large estate",Center of Feature,S - Spot Features
HSP,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated",Center of Feature,S - Spot Features
HSPC,clinic,facility which provides medical or surgical treatment for the ill or wounded on an out-patient basis (for example: at a clinic or dispensary),Center of Feature,S - Spot Features
HSPL,leprosarium,an asylum or hospital for lepers,Center of Feature,S - Spot Features
HSTS,historical site,a place of historical importance,Center of Feature,S - Spot Features
HTH,heath,an upland moor or sandy area dominated by low shrubby vegetation including heather,Center of Feature,V - Vegetation
HTL,hotel,a building providing lodging and/or meals for the public,Center of Feature,S - Spot Features
HUT,hut(s),"single or multiple, small, free standing, self-contained residence(s) usually having only a single multi-function room",Center of Feature,S - Spot Features
INDS,industrial area,an area characterized by industrial activity,Center of Feature,L - Areas/Localities
INLT,inlet,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water",Center of Feature,H - Hydrographic
INSM,military installation,an installation designed for and used by the military,Center of Feature,S - Spot Features
INTF,interfluve,a relatively undissected upland between adjacent stream valleys,Center of Feature,T - Hypsographic
ISL,island,"a tract of land, smaller than a continent, surrounded by water at high water",Center of Feature,T - Hypsographic
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",Center of Feature,T - Hypsographic
ISLM,mangrove island,a mangrove swamp surrounded by a waterbody,Center of Feature,T - Hypsographic
ISLS,islands,"tracts of land, smaller than a continent, surrounded by water at high water",Center of Feature,T - Hypsographic
ISLT,land-tied island,"a coastal island connected to the mainland by barrier beaches, levees or dikes",Center of Feature,T - Hypsographic
ISLX,section of island,section of island,Center of Feature,T - Hypsographic
ISTH,isthmus,a narrow strip of land connecting two larger land masses and bordered by water,Center of Feature,T - Hypsographic
ITTR,research institute,a facility where research is carried out,Center of Feature,S - Spot Features
JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting,Center of Feature,S - Spot Features
KNLU,undersea knoll,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit",Center of Feature (modification/addition requires ACUF approval),U - Undersea
KNSU,undersea knolls,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits",Center of Feature (modification/addition requires ACUF approval),U - Undersea
KRST,karst area,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage",Center of Feature,T - Hypsographic
LAND,Arctic land,a tract of land in the Arctic,Center of Feature,L - Areas/Localities
LAVA,lava area,an area of solidified lava,Center of Feature,T - Hypsographic
LBED,lake bed(s),dried up or drained area(s) of former lake(s),Center of Feature,H - Hydrographic
LCTY,locality,a minor area or place of unspecified or mixed character and indefinite boundaries,Center of Feature,L - Areas/Localities
LDGU,undersea ledge,"a rocky projection or outcrop, commonly linear and near shore",Center of Feature (modification/addition requires ACUF approval),U - Undersea
LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities",Center of Feature,S - Spot Features
LEPC,leper colony,a settled area inhabited by lepers in relative isolation,Center of Feature,P - Populated Places
LEV,levee,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods,Center of Feature,T - Hypsographic
LEVU,undersea levee,"an embankment bordering a canyon, valley, or seachannel",Center of Feature (modification/addition requires ACUF approval),U - Undersea
LGHSE,longhouse,"a long, narrow, often single-room structure, used as a communal dwelling by large extended families and kinship groups",Center of Feature,S - Spot Features
LGN,lagoon(s),"shallow coastal waterbody(-ies), completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",Center of Feature,H - Hydrographic
LGNX,section of lagoon,section of lagoon,Center of Feature,H - Hydrographic
LIB,library,"a building housing a curated collection of information resources, which may include books, periodicals, audiovisual and reference materials",Center of Feature,S - Spot Features
LK,lake,a large inland body of standing water,Center of Feature,H - Hydrographic
LKC,crater lake(s),body(-ies) of water formed by the collection of water in the crater of an inactive volcano,Center of Feature,H - Hydrographic
LKI,intermittent lake(s),large inland body(-ies) of water that are filled for part of the year only,Center of Feature,H - Hydrographic
LKN,salt lake(s),large inland body(-ies) of salt water with no outlet,Center of Feature,H - Hydrographic
LKNI,intermittent salt lake(s),large inland body(-ies) of salt water that are filled for part of the year only,Center of Feature,H - Hydrographic
LKO,oxbow lake,a crescent-shaped lake commonly found adjacent to meandering streams,Center of Feature,H - Hydrographic
LKOI,intermittent oxbow lake,intermittent oxbow lake,Center of Feature,H - Hydrographic
LKS,lakes,large inland bodies of standing water,Center of Feature,H - Hydrographic
LKSB,underground lake,a standing body of water in a cave,Center of Feature,H - Hydrographic
LKX,section of lake,section of lake,Center of Feature,H - Hydrographic
